日期,門市,業務員,產品類別,銷售數量,單價,折扣,客戶評分,是否會員,地區
2026-04-11,台北旗艦店,李大華,食品禮盒,11,4350,0.17,,FALSE,東區
2026-04-07,高雄漢神店,王小明,生活用品,14,3350,0.10,,TRUE,未知
2026-04-17,桃園機場店,劉俊傑,生活用品,13,8180,0.11,,FALSE,中區
2026-01-14,高雄漢神店,林淑芬,食品禮盒,2,1630,0.27,,TRUE,東區
2026-05-09,台北車站店,陳美玲,食品禮盒,4,5890,0.17,3,TRUE,東區
2026-01-26,桃園機場店,陳美玲,美妝保養,1,9260,NA,2,TRUE,北區
2026-05-12,桃園機場店,李大華,食品禮盒,9,4680,0.06,2,FALSE,南區
2026-02-03,N/A,林淑芬,生活用品,1,2490,0.10,5,TRUE,北區
2026-03-15,台中新光店,李大華,3C 家電,17,9270,0.18,4,FALSE,未知
2026-02-03,桃園機場店,陳美玲,美妝保養,7,7920,NA,,FALSE,南區
2026-02-16,高雄漢神店,陳美玲,美妝保養,6,710,0.10,,TRUE,中區
2026-07-28,台中新光店,張雅婷,3C 家電,9,8330,0.14,5,FALSE,中區
2026-03-12,高雄漢神店,張雅婷,美妝保養,15,8940,0.00,1,FALSE,南區
2026-02-16,台北旗艦店,林淑芬,3C 家電,12,6870,0.04,4,TRUE,未知
2026-01-19,N/A,林淑芬,美妝保養,20,9740,0.25,,TRUE,東區
2026-02-14,桃園機場店,張雅婷,3C 家電,3,8240,NA,1,TRUE,未知
2026-03-24,台北車站店,林淑芬,美妝保養,20,6720,0.16,,FALSE,南區
2026-05-04,台北旗艦店,李大華,服飾配件,2,4740,0.06,,FALSE,中區
2026-03-30,高雄漢神店,林淑芬,美妝保養,7,3920,0.28,3,TRUE,南區
2026-04-20,台北旗艦店,李大華,食品禮盒,4,6830,NA,4,TRUE,南區
2026-03-26,台中新光店,劉俊傑,服飾配件,8,9440,NA,5,FALSE,未知
2026-08-21,桃園機場店,李大華,食品禮盒,12,9920,0.22,,FALSE,南區
2026-05-19,台中新光店,王小明,3C 家電,5,5710,0.15,3,TRUE,南區
2026-07-01,台中新光店,王小明,美妝保養,6,630,0.16,5,TRUE,南區
2026-03-04,桃園機場店,林淑芬,美妝保養,3,8770,0.29,,TRUE,北區
2026-02-18,台中新光店,王小明,生活用品,13,3880,0.29,4,FALSE,北區
2026-01-14,桃園機場店,劉俊傑,服飾配件,4,5960,0.05,2,FALSE,未知
2026-05-12,台中新光店,陳美玲,3C 家電,19,3220,0.28,2,FALSE,中區
2026-01-20,台中新光店,王小明,食品禮盒,6,8360,0.30,1,TRUE,中區
2026-03-15,台中新光店,張雅婷,生活用品,15,6720,0.21,1,TRUE,南區
2026-06-26,台北車站店,林淑芬,美妝保養,1,5360,0.12,2,TRUE,北區
2026-07-30,桃園機場店,劉俊傑,美妝保養,1,970,0.02,1,FALSE,東區
2026-06-29,高雄漢神店,劉俊傑,生活用品,14,5850,NA,5,TRUE,北區
2026-08-17,台北旗艦店,張雅婷,服飾配件,17,1170,0.28,5,TRUE,東區
2026-05-05,台北旗艦店,陳美玲,食品禮盒,4,5420,NA,,TRUE,中區
2026-05-18,桃園機場店,王小明,3C 家電,18,9010,0.21,,FALSE,北區
2026-07-13,台中新光店,李大華,美妝保養,2,7070,0.24,1,TRUE,南區
2026-05-04,台北旗艦店,陳美玲,美妝保養,12,7790,0.07,3,FALSE,南區
2026-05-15,台北車站店,陳美玲,服飾配件,7,6780,0.15,3,FALSE,南區
2026-08-07,台北旗艦店,陳美玲,生活用品,13,2180,0.00,4,FALSE,北區
2026-06-07,台北旗艦店,李大華,美妝保養,20,4900,0.11,,TRUE,中區
2026-01-29,桃園機場店,林淑芬,服飾配件,19,7620,0.29,5,FALSE,中區
2026-02-08,台中新光店,李大華,美妝保養,18,7310,0.24,1,TRUE,南區
2026-06-12,台北旗艦店,劉俊傑,美妝保養,14,9110,0.29,1,TRUE,南區
2026-08-07,台中新光店,張雅婷,服飾配件,4,5330,0.26,4,TRUE,北區
2026-01-12,桃園機場店,張雅婷,生活用品,19,3070,0.05,1,TRUE,東區
2026-08-08,桃園機場店,陳美玲,美妝保養,8,5860,0.02,,FALSE,東區
2026-02-21,桃園機場店,張雅婷,生活用品,13,9670,0.24,3,TRUE,東區
2026-03-21,台中新光店,李大華,3C 家電,19,4830,0.04,5,TRUE,北區
2026-05-30,高雄漢神店,李大華,食品禮盒,13,3370,0.22,3,TRUE,未知
2026-08-25,台北旗艦店,王小明,食品禮盒,2,5250,0.08,1,FALSE,東區
2026-02-16,台北車站店,王小明,美妝保養,20,3950,NA,1,FALSE,南區
2026-02-08,台北車站店,陳美玲,食品禮盒,17,3030,0.21,,TRUE,東區
2026-01-22,高雄漢神店,張雅婷,3C 家電,2,4940,NA,2,TRUE,北區
2026-03-27,桃園機場店,王小明,美妝保養,16,9220,NA,2,TRUE,南區
2026-04-28,台北旗艦店,張雅婷,生活用品,3,4210,NA,,TRUE,未知
2026-03-26,高雄漢神店,陳美玲,食品禮盒,13,8880,0.27,5,TRUE,中區
2026-04-10,高雄漢神店,林淑芬,美妝保養,5,6020,0.00,1,TRUE,東區
2026-05-30,高雄漢神店,李大華,美妝保養,2,1810,0.03,,FALSE,東區
2026-01-04,台北旗艦店,陳美玲,食品禮盒,8,9510,0.02,4,FALSE,中區
2026-05-05,台北旗艦店,劉俊傑,3C 家電,15,3120,0.13,5,TRUE,未知
2026-05-20,高雄漢神店,張雅婷,生活用品,15,1330,0.22,,TRUE,未知
2026-04-29,台中新光店,張雅婷,食品禮盒,2,7770,0.16,2,TRUE,中區
2026-01-30,桃園機場店,劉俊傑,食品禮盒,12,6770,0.12,,TRUE,南區
2026-05-14,N/A,陳美玲,3C 家電,12,8270,0.01,2,FALSE,中區
2026-08-26,台北車站店,劉俊傑,食品禮盒,7,3430,0.17,3,TRUE,東區
2026-07-19,台北車站店,王小明,生活用品,8,6340,0.19,4,TRUE,東區
2026-02-06,桃園機場店,林淑芬,美妝保養,17,5970,0.03,,TRUE,南區
2026-05-24,高雄漢神店,陳美玲,美妝保養,6,2060,0.07,,FALSE,南區
2026-07-15,台北旗艦店,劉俊傑,美妝保養,10,5510,NA,,TRUE,北區
2026-03-12,台中新光店,張雅婷,3C 家電,15,5480,0.18,2,TRUE,南區
2026-04-15,N/A,王小明,美妝保養,6,530,NA,4,FALSE,東區
2026-04-22,桃園機場店,劉俊傑,3C 家電,14,8960,0.10,5,FALSE,北區
2026-07-01,桃園機場店,劉俊傑,生活用品,18,220,0.27,,TRUE,南區
2026-01-13,桃園機場店,林淑芬,美妝保養,13,3600,0.10,1,TRUE,東區
2026-07-03,台北車站店,李大華,3C 家電,13,4920,0.13,,TRUE,中區
2026-07-14,高雄漢神店,王小明,3C 家電,7,3970,0.10,3,TRUE,北區
2026-04-15,桃園機場店,李大華,服飾配件,4,9450,NA,3,FALSE,北區
2026-04-12,台北車站店,張雅婷,服飾配件,20,7050,0.09,5,TRUE,北區
2026-04-08,台中新光店,李大華,美妝保養,19,710,0.16,,TRUE,南區
2026-05-09,台北旗艦店,林淑芬,服飾配件,3,2520,0.14,3,TRUE,東區
2026-06-14,台北旗艦店,劉俊傑,生活用品,1,4320,0.08,1,TRUE,北區
2026-02-24,台北旗艦店,李大華,食品禮盒,19,1290,NA,5,FALSE,北區
2026-05-26,高雄漢神店,王小明,生活用品,4,9220,0.03,1,FALSE,中區
2026-03-29,台北車站店,林淑芬,食品禮盒,7,8930,NA,5,FALSE,北區
2026-08-11,台中新光店,陳美玲,食品禮盒,16,7120,0.12,1,FALSE,南區
2026-03-27,高雄漢神店,林淑芬,食品禮盒,9,5270,NA,5,TRUE,中區
2026-02-11,台中新光店,林淑芬,生活用品,8,3860,0.30,,FALSE,中區
2026-08-09,台北車站店,張雅婷,服飾配件,13,7780,NA,3,TRUE,北區
2026-04-06,台中新光店,劉俊傑,3C 家電,2,8130,NA,2,TRUE,南區
2026-03-25,台北旗艦店,王小明,食品禮盒,16,4500,0.10,2,FALSE,南區
2026-02-25,台中新光店,張雅婷,生活用品,2,9370,0.15,2,TRUE,南區
2026-08-23,台北旗艦店,林淑芬,3C 家電,18,4130,0.08,3,TRUE,中區
2026-05-12,桃園機場店,李大華,生活用品,1,5760,0.14,,FALSE,中區
2026-01-07,台北車站店,王小明,生活用品,15,8090,0.14,4,FALSE,北區
2026-08-14,高雄漢神店,林淑芬,服飾配件,15,250,0.19,1,FALSE,未知
2026-05-10,台北旗艦店,李大華,服飾配件,10,4910,0.15,4,FALSE,東區
2026-07-19,台中新光店,林淑芬,食品禮盒,15,1130,0.25,5,FALSE,南區
2026-05-31,台中新光店,陳美玲,美妝保養,15,9010,0.08,4,FALSE,中區
2026-08-10,桃園機場店,李大華,食品禮盒,17,4760,0.08,5,TRUE,南區
2026-05-06,N/A,林淑芬,食品禮盒,15,3120,0.27,,FALSE,中區
2026-08-14,台中新光店,林淑芬,食品禮盒,15,8620,0.16,3,TRUE,東區
2026-06-15,台北車站店,陳美玲,食品禮盒,3,4200,0.25,4,FALSE,東區
2026-07-11,台北車站店,李大華,美妝保養,4,810,NA,1,TRUE,未知
2026-04-04,桃園機場店,林淑芬,食品禮盒,7,4150,0.28,4,FALSE,北區
2026-08-15,台中新光店,王小明,食品禮盒,9,3700,0.12,5,TRUE,中區
2026-05-16,高雄漢神店,劉俊傑,服飾配件,8,5900,0.25,4,FALSE,東區
2026-05-09,台中新光店,林淑芬,生活用品,18,9620,0.28,2,TRUE,中區
2026-01-26,台北車站店,林淑芬,食品禮盒,16,2800,0.14,3,TRUE,南區
2026-07-21,桃園機場店,王小明,服飾配件,10,5340,0.24,1,TRUE,北區
2026-06-11,桃園機場店,林淑芬,食品禮盒,13,1820,0.04,5,TRUE,北區
2026-05-02,高雄漢神店,林淑芬,3C 家電,4,8880,0.14,4,TRUE,南區
2026-08-03,桃園機場店,張雅婷,生活用品,2,3000,0.10,1,FALSE,北區
2026-01-04,台北車站店,李大華,美妝保養,7,5190,0.03,1,TRUE,未知
2026-08-13,台北旗艦店,劉俊傑,服飾配件,20,8910,0.13,2,TRUE,北區
2026-08-26,台北車站店,劉俊傑,生活用品,1,7830,0.09,1,TRUE,南區
2026-06-09,台北旗艦店,張雅婷,服飾配件,12,650,0.25,4,TRUE,北區
2026-05-15,台中新光店,李大華,美妝保養,2,4650,0.09,5,FALSE,中區
2026-04-05,台中新光店,劉俊傑,美妝保養,11,4850,0.05,2,TRUE,南區
2026-08-16,台北旗艦店,張雅婷,服飾配件,3,4370,NA,,FALSE,中區
2026-02-14,台北車站店,李大華,3C 家電,12,7230,NA,5,TRUE,未知
2026-04-18,台北旗艦店,王小明,生活用品,19,1330,0.28,,TRUE,東區
2026-06-29,台中新光店,陳美玲,生活用品,8,4300,0.22,4,FALSE,中區
2026-01-09,N/A,林淑芬,生活用品,11,260,NA,1,FALSE,東區
2026-05-05,高雄漢神店,陳美玲,美妝保養,14,3470,0.15,5,FALSE,東區
2026-01-14,台中新光店,林淑芬,美妝保養,20,8990,0.11,5,TRUE,未知
