員工編號,姓名,部門,職稱,學歷,到職日,月薪,績效分數,加班時數,居住城市
E1124,蔡OO,行銷部,專員,大學,2025/04/05,43000,74.6,24,新竹市
E1125,吳OO,人資部,主管,博士,2025/09/15,52000,缺,12,
E1126,李OO,行銷部,經理,碩士,2022/01/20,46000,61.0,28,高雄市
E1127,楊OO,行銷部,資深專員,博士,2019/01/23,81000,87.0,33,
E1128,楊OO,財務部,主管,碩士,2018/04/29,65000,74.7,3,台南市
E1129,張OO,工程部,經理,博士,2018/11/11,59000,缺,14,高雄市
E1130,蔡OO,工程部,資深專員,大學,2018/03/29,69000,缺,29,高雄市
E1131,劉OO,工程部,專員,大學,2023/07/08,65000,89.8,-,台中市
E1132,楊OO,工程部,資深專員,大學,2019/01/14,68000,58.5,21,
E1133,李OO,客服部,專員,大學,2020/12/29,83000,92.7,1,新竹市
E1134,李OO,工程部,資深專員,專科,2018/08/31,88000,60.1,31,高雄市
E1135,楊OO,客服部,資深專員,碩士,2021/03/19,82000,84.4,26,台南市
E1136,陳OO,人資部,專員,碩士,2024/06/16,32000,77.5,7,台中市
E1137,蔡OO,行銷部,資深專員,碩士,2023/10/05,34000,98.7,9,台北市
E1138,陳OO,財務部,資深專員,碩士,2021/02/25,74000,73.6,2,新竹市
E1139,楊OO,行銷部,專員,大學,2024/09/11,90000,66.0,18,台南市
E1140,李OO,行銷部,專員,博士,2023/08/11,43000,50.2,28,
E1141,林OO,客服部,經理,專科,2019/11/24,43000,76.2,-,新北市
E1142,黃OO,人資部,專員,專科,2021/06/29,71000,88.2,1,台中市
E1143,黃OO,人資部,資深專員,專科,2025/02/22,56000,94.0,13,台北市
E1144,蔡OO,客服部,經理,大學,2025/10/23,62000,缺,0,高雄市
E1145,林OO,行銷部,經理,博士,2024/11/11,73000,79.4,17,新北市
E1146,陳OO,人資部,經理,大學,2018/03/08,72000,64.9,1,台北市
E1147,蔡OO,人資部,專員,大學,2022/10/09,88000,63.8,24,新北市
E1148,黃OO,工程部,經理,碩士,2023/03/06,35000,98.6,6,新北市
E1149,許OO,人資部,經理,博士,2025/08/06,35000,缺,6,新北市
E1150,陳OO,人資部,主管,博士,2024/12/21,64000,97.7,-,新竹市
E1151,林OO,客服部,主管,博士,2025/03/26,48000,63.9,32,新竹市
E1152,吳OO,客服部,資深專員,大學,2020/07/21,71000,缺,-,台中市
E1153,許OO,行銷部,經理,專科,2020/06/27,87000,77.8,26,台中市
E1154,陳OO,財務部,經理,博士,2022/11/09,86000,93.8,2,台南市
E1155,陳OO,工程部,主管,專科,2025/09/11,63000,54.1,20,台中市
E1156,楊OO,財務部,專員,大學,2024/08/13,54000,66.5,-,新北市
E1157,黃OO,工程部,專員,博士,2025/03/19,35000,67.2,-,台北市
E1158,劉OO,財務部,主管,大學,2023/12/01,87000,67.0,-,台北市
E1159,陳OO,工程部,經理,專科,2025/08/06,67000,53.4,18,新竹市
E1160,李OO,行銷部,資深專員,專科,2020/11/19,38000,84.2,0,新竹市
E1161,林OO,客服部,主管,碩士,2022/03/09,60000,86.0,3,新北市
E1162,陳OO,人資部,資深專員,碩士,2024/04/19,91000,80.2,35,高雄市
E1163,楊OO,行銷部,主管,碩士,2023/07/08,87000,50.2,-,新北市
E1164,許OO,客服部,經理,大學,2023/07/05,84000,78.1,17,台南市
E1165,黃OO,工程部,經理,專科,2019/05/27,79000,80.0,14,新竹市
E1166,許OO,行銷部,經理,大學,2018/10/11,62000,69.1,-,高雄市
E1167,陳OO,客服部,專員,專科,2025/08/21,80000,70.6,15,新北市
E1168,張OO,工程部,資深專員,博士,2021/10/24,76000,83.1,0,新竹市
E1169,黃OO,人資部,資深專員,博士,2024/07/02,60000,96.7,-,台中市
E1170,蔡OO,人資部,主管,博士,2022/03/10,86000,99.2,36,新竹市
E1171,黃OO,人資部,專員,碩士,2023/03/20,51000,78.1,-,台北市
E1172,楊OO,人資部,資深專員,博士,2023/07/03,63000,缺,9,新北市
E1173,許OO,客服部,經理,博士,2018/10/13,50000,50.0,14,台中市
E1174,楊OO,行銷部,主管,碩士,2019/02/22,41000,99.3,7,高雄市
E1175,蔡OO,客服部,經理,大學,2025/09/29,91000,缺,-,高雄市
E1176,林OO,人資部,經理,專科,2023/12/25,44000,99.2,1,台北市
E1177,蔡OO,財務部,資深專員,碩士,2020/04/25,82000,69.0,-,台中市
E1178,吳OO,財務部,經理,博士,2024/03/10,65000,缺,4,台北市
E1179,蔡OO,客服部,資深專員,大學,2019/07/13,82000,86.1,36,高雄市
E1180,劉OO,人資部,資深專員,碩士,2020/04/27,66000,97.9,-,
E1181,林OO,客服部,資深專員,碩士,2019/07/23,79000,67.5,7,新竹市
E1182,許OO,財務部,資深專員,大學,2018/12/05,87000,71.9,-,新竹市
E1183,劉OO,財務部,主管,碩士,2018/12/21,90000,90.8,19,新北市
E1184,許OO,人資部,專員,碩士,2022/10/12,82000,81.7,21,台中市
E1185,黃OO,人資部,資深專員,碩士,2018/02/16,35000,53.1,8,台北市
E1186,楊OO,行銷部,資深專員,專科,2018/10/30,48000,缺,18,台中市
E1187,吳OO,行銷部,經理,專科,2024/10/30,80000,缺,12,台北市
E1188,劉OO,財務部,專員,博士,2025/12/30,75000,88.9,28,新北市
E1189,林OO,財務部,經理,博士,2020/04/03,56000,52.5,11,台北市
E1190,吳OO,財務部,主管,碩士,2024/01/09,43000,96.6,34,台北市
E1191,吳OO,工程部,資深專員,大學,2019/07/06,80000,61.0,7,新竹市
E1192,蔡OO,行銷部,經理,博士,2018/01/23,78000,87.7,30,新竹市
E1193,林OO,客服部,經理,碩士,2024/10/31,33000,83.4,-,
E1194,黃OO,財務部,資深專員,博士,2021/07/21,34000,缺,-,台中市
E1195,陳OO,行銷部,主管,博士,2020/03/30,46000,72.9,22,新竹市
E1196,許OO,客服部,專員,專科,2025/12/13,86000,93.3,-,台南市
E1197,楊OO,人資部,經理,大學,2018/10/31,46000,85.4,-,高雄市
E1198,許OO,客服部,專員,專科,2020/11/27,43000,77.1,29,台中市
E1199,陳OO,財務部,資深專員,專科,2023/12/15,56000,94.4,-,高雄市
E1200,吳OO,工程部,經理,專科,2023/03/23,32000,50.9,19,高雄市
E1201,林OO,客服部,經理,專科,2026/01/27,45000,70.7,-,台中市
E1202,劉OO,行銷部,專員,碩士,2018/07/20,50000,79.0,-,新竹市
E1203,蔡OO,人資部,資深專員,博士,2021/03/22,45000,56.7,19,新北市
E1204,林OO,人資部,主管,碩士,2023/03/18,78000,缺,12,
E1205,許OO,人資部,專員,博士,2019/07/13,65000,75.8,-,新北市
E1206,楊OO,行銷部,主管,專科,2024/01/18,42000,88.1,13,
E1207,李OO,行銷部,資深專員,碩士,2021/10/11,85000,91.7,6,高雄市
E1208,劉OO,人資部,資深專員,碩士,2023/05/29,36000,缺,39,新竹市
E1209,李OO,工程部,專員,專科,2024/06/02,35000,55.5,18,新北市
E1210,劉OO,工程部,資深專員,大學,2022/05/17,65000,75.3,-,新竹市
E1211,蔡OO,行銷部,資深專員,博士,2021/10/09,39000,53.7,17,台中市
E1212,吳OO,工程部,主管,博士,2021/04/11,32000,59.6,9,
E1213,李OO,工程部,經理,博士,2024/12/21,49000,89.3,7,新竹市
E1214,黃OO,人資部,經理,碩士,2023/08/16,53000,67.2,39,高雄市
E1215,林OO,人資部,經理,博士,2023/02/07,79000,56.9,11,台北市
E1216,楊OO,人資部,經理,碩士,2021/10/11,86000,缺,-,台南市
E1217,吳OO,財務部,資深專員,博士,2025/01/01,51000,60.8,16,高雄市
E1218,蔡OO,人資部,資深專員,大學,2020/05/03,49000,68.8,15,台中市
E1219,許OO,財務部,經理,碩士,2022/05/22,48000,61.4,25,新北市
E1220,劉OO,行銷部,經理,碩士,2021/05/07,70000,71.2,4,
E1221,黃OO,人資部,主管,大學,2025/04/18,54000,67.5,8,新北市
E1222,陳OO,人資部,主管,大學,2023/04/17,86000,61.8,-,台北市
E1223,楊OO,客服部,資深專員,博士,2022/10/05,60000,85.2,22,新北市
E1224,黃OO,財務部,經理,博士,2018/07/22,87000,缺,30,台南市
E1225,楊OO,財務部,專員,大學,2018/09/17,36000,88.7,23,台北市
E1226,許OO,工程部,專員,博士,2023/07/16,62000,84.4,16,
E1227,黃OO,財務部,主管,大學,2020/09/13,48000,66.6,17,高雄市
E1228,楊OO,工程部,專員,大學,2023/07/27,54000,79.7,-,台北市
E1229,許OO,客服部,專員,碩士,2019/01/08,83000,60.7,24,高雄市
E1230,林OO,財務部,主管,碩士,2022/03/16,82000,78.7,9,新竹市
E1231,楊OO,人資部,主管,博士,2019/06/08,83000,86.0,32,台中市
E1232,陳OO,人資部,主管,大學,2026/01/26,32000,63.4,-,高雄市
E1233,林OO,客服部,主管,博士,2018/11/04,59000,52.8,24,
E1234,林OO,行銷部,資深專員,大學,2026/03/18,38000,61.3,28,新北市
E1235,吳OO,人資部,經理,專科,2021/01/17,54000,81.6,-,新竹市
E1236,吳OO,行銷部,資深專員,大學,2018/01/03,69000,84.6,11,
E1237,許OO,工程部,資深專員,專科,2025/11/25,72000,缺,19,台北市
E1238,楊OO,人資部,資深專員,專科,2024/06/05,68000,94.4,-,新竹市
E1239,張OO,行銷部,資深專員,大學,2024/06/07,83000,59.2,9,台中市
